	sequences per sample	iteration	sample02	sample03
alpha_rarefaction_444150_2.txt	444150	2	3640.01212121	3584.73361522
alpha_rarefaction_444150_3.txt	444150	3	3682.27755102	3372.5483871
alpha_rarefaction_444150_4.txt	444150	4	3679.09146341	3377.4501992
alpha_rarefaction_444150_5.txt	444150	5	3702.02020202	3389.59036145
alpha_rarefaction_444150_6.txt	444150	6	3573.97276265	3422.23484848
alpha_rarefaction_444150_7.txt	444150	7	3511.09859155	3427.80305927
alpha_rarefaction_444150_8.txt	444150	8	3621.11089109	3536.10721248
alpha_rarefaction_444150_9.txt	444150	9	3802.61586639	3652.39511202
alpha_rarefaction_555185_0.txt	555185	0	3695.30769231	3532.92883895
alpha_rarefaction_555185_1.txt	555185	1	3702.56382979	3523.81765835
alpha_rarefaction_555185_2.txt	555185	2	3745.35045872	3720.89772727
alpha_rarefaction_555185_3.txt	555185	3	3770.24817518	3652.61153846
alpha_rarefaction_555185_4.txt	555185	4	3682.47231834	3525.91851852
alpha_rarefaction_555185_5.txt	555185	5	3705.98151571	3602.43074004
alpha_rarefaction_555185_6.txt	555185	6	3834.38129496	3621.2
alpha_rarefaction_555185_7.txt	555185	7	3715.2875	3535.19089317
alpha_rarefaction_555185_8.txt	555185	8	3709.14208633	3560.79206049
alpha_rarefaction_555185_9.txt	555185	9	3808.80952381	3589.76722533
alpha_rarefaction_666220_0.txt	666220	0	3945.57377049	3619.94117647
alpha_rarefaction_666220_1.txt	666220	1	3804.07679466	3708.08348794
alpha_rarefaction_666220_2.txt	666220	2	3841.40526316	3688.65804067
alpha_rarefaction_666220_3.txt	666220	3	3775.62673611	3601.36363636
alpha_rarefaction_666220_4.txt	666220	4	3689.87559809	3566.20430108
alpha_rarefaction_666220_5.txt	666220	5	3733.49263502	3603.18804921
alpha_rarefaction_666220_6.txt	666220	6	3830.06206897	3593.43794326
alpha_rarefaction_666220_7.txt	666220	7	3779.85117057	3573.44483363
alpha_rarefaction_666220_8.txt	666220	8	3793.26264274	3615.10477941
alpha_rarefaction_666220_9.txt	666220	9	3776.51400329	3622.85055351
alpha_rarefaction_777255_0.txt	777255	0	3884.15635739	3616.14130435
alpha_rarefaction_777255_1.txt	777255	1	3816.43661972	3629.21917808
alpha_rarefaction_777255_2.txt	777255	2	3810.16211878	3596.9750416
alpha_rarefaction_777255_3.txt	777255	3	3832.2	3582.775
alpha_rarefaction_777255_4.txt	777255	4	3840.33550489	3598.36019737
alpha_rarefaction_777255_5.txt	777255	5	3814.93290735	3666.16548043
alpha_rarefaction_777255_6.txt	777255	6	3802.58823529	3622.58573854
alpha_rarefaction_777255_7.txt	777255	7	3832.9823435	3644.55691769
alpha_rarefaction_777255_8.txt	777255	8	3858.12324493	3605.90682196
alpha_rarefaction_777255_9.txt	777255	9	3831.53191489	3636.63058419
alpha_rarefaction_888290_0.txt	888290	0	3772.16257669	3686.2408377
alpha_rarefaction_888290_1.txt	888290	1	3825.56170886	3610.07166124
alpha_rarefaction_888290_2.txt	888290	2	3901.40909091	3603.43781942
alpha_rarefaction_888290_3.txt	888290	3	3818.85179407	3592.24170616
alpha_rarefaction_888290_4.txt	888290	4	3885.54307692	3644.38860104
alpha_rarefaction_888290_5.txt	888290	5	3868.39593114	3622.82857143
alpha_rarefaction_888290_6.txt	888290	6	3876.62183544	3643.55389718
alpha_rarefaction_888290_7.txt	888290	7	3862.78492936	3606.54166667
alpha_rarefaction_888290_8.txt	888290	8	3784.12801205	3672.15957447
alpha_rarefaction_888290_9.txt	888290	9	3817.875	3601.15815486
alpha_rarefaction_999325_0.txt	999325	0	3921.67445483	3603.45619835
alpha_rarefaction_999325_1.txt	999325	1	3886.76323988	3573.20689655
alpha_rarefaction_999325_2.txt	999325	2	3909.2507837	3575.63981043
alpha_rarefaction_999325_3.txt	999325	3	3898.19937206	3613.34482759
alpha_rarefaction_999325_4.txt	999325	4	3889.0462963	3645.51677852
alpha_rarefaction_999325_5.txt	999325	5	3930.51226994	3637.00507614
alpha_rarefaction_999325_6.txt	999325	6	3885.23529412	3611.63
alpha_rarefaction_999325_7.txt	999325	7	3856.82317073	3626.44732577
alpha_rarefaction_999325_8.txt	999325	8	3857.68645358	3680.23076923
alpha_rarefaction_999325_9.txt	999325	9	3882.56074766	3576.94063927
alpha_rarefaction_1110360_0.txt	1110360	0	3884.67477204	3616.43021346
alpha_rarefaction_1110360_1.txt	1110360	1	3884.67477204	3635.30114566
alpha_rarefaction_1110360_2.txt	1110360	2	3884.67477204	3562.65806452
alpha_rarefaction_1110360_3.txt	1110360	3	3884.67477204	3627.85538462
alpha_rarefaction_1110360_4.txt	1110360	4	3884.67477204	3617.77684564
alpha_rarefaction_1110360_5.txt	1110360	5	3884.67477204	3645.81208054
alpha_rarefaction_1110360_6.txt	1110360	6	3884.67477204	3616.04777595
alpha_rarefaction_1110360_7.txt	1110360	7	3884.67477204	3562.77496038
alpha_rarefaction_1110360_8.txt	1110360	8	3884.67477204	3596.76079734
alpha_rarefaction_1110360_9.txt	1110360	9	3884.67477204	3631.37876387
